2021-9,Value
palmOil,False
controversialWeapons,False
gambling,False
socialScore,10.67
nuclear,False
furLeather,False
alcoholic,False
gmo,False
catholic,False
socialPercentile,
peerCount,64
governanceScore,10.21
environmentPercentile,
animalTesting,True
tobacco,False
totalEsg,41.16
highestControversy,3
esgPerformance,LEAD_PERF
coal,False
pesticides,False
adult,False
percentile,88.39
peerGroup,Oil & Gas Producers
smallArms,False
environmentScore,20.29
governancePercentile,
militaryContract,False
